jul 18/20:18:26.188 DEBUG2 : 		

StartSession()

jul 18/20:18:26.188 INFO   : Debug Log(info): Loading the CMSIS-DAP driver
jul 18/20:18:26.561 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x4002380c, 4 bytes [by 4] = [ 00 00 00 00 ])
jul 18/20:18:26.562 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x40023808, 4 bytes [by 4] = [ 0a 94 00 00 ])
jul 18/20:18:26.563 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x40023800, 4 bytes [by 4] = [ 83 74 03 03 ])
jul 18/20:18:26.563 DEBUG2 : 		  WritePostCache(): MemWrite(core 0, 0:0x4002380c, 4 bytes [by 4] = [ 00 00 00 00 ])
jul 18/20:18:26.563 DEBUG2 : 		  WritePostCache(): MemWrite(core 0, 0:0x40023808, 4 bytes [by 4] = [ 00 00 00 00 ])
jul 18/20:18:26.564 DEBUG2 : 		  WritePostCache(): MemWrite(core 0, 0:0x40023800, 4 bytes [by 4] = [ 83 7e 00 00 ])
jul 18/20:18:26.566 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x40023c14, 4 bytes [by 4] = [ fd aa ff c0 ])
jul 18/20:18:26.566 DEBUG2 : 		<Call to execUserFlashInit completed successfully
jul 18/20:18:26.582 DEBUG2 : 		  WritePostCache(): MemWrite(core 0, 0:0x20010000, 2816 bytes [by 0] = [ 00 c0 03 20 b9 08 01 20 ... ])
jul 18/20:18:26.591 ERROR  : MemWrite() returned Failure while executing the operation ;   WritePostCache(): 
jul 18/20:18:26.591 DEBUG2 : 		============== Running flashloader
jul 18/20:18:26.592 INFO   : Debug Log(error): Failed to load flash loader: C:\Program Files\IAR Systems\Embedded Workbench 9.40.1\arm/config/flashloader/ST/FlashSTM32F7xxx_RAM176K.out
jul 18/20:18:26.592 INFO   : Debug Log(info): Unloaded macro file: C:\Program Files\IAR Systems\Embedded Workbench 9.40.1\arm/config/flashloader/ST/FlashSTM32F7xxx.mac
jul 18/20:18:26.592 INFO   : Debug Log(error): Failed to load flash loader: C:\Program Files\IAR Systems\Embedded Workbench 9.40.1\arm/config/flashloader/ST/FlashSTM32F730x8.flash
jul 18/20:18:28.245 INFO   : Debug Log(info): Unloaded macro file: C:\Program Files\IAR Systems\Embedded Workbench 9.40.1\arm/config/debugger/ST/STM32F723E-DISCO.dmac
jul 18/20:18:28.245 INFO   : Debug Log(info): Unloaded macro file: C:\Program Files\IAR Systems\Embedded Workbench 9.40.1\arm/config/debugger/ST/STM32F7xx.dmac
jul 18/20:18:28.245 INFO   : Debug Log(info): Unloaded macro file: C:\Program Files\IAR Systems\Embedded Workbench 9.40.1\arm/config/debugger/ST/STM32F7xx_OB.dmac
jul 18/20:18:28.245 INFO   : Debug Log(info): Unloaded macro file: C:\Program Files\IAR Systems\Embedded Workbench 9.40.1\arm/config/debugger/ST/STM32F7xx_TRACE.dmac
jul 18/20:18:29.536 DEBUG2 : 		-> AboutToStopSession()
jul 18/20:18:29.536 DEBUG2 : 		<- AboutToStopSession()
jul 18/20:18:29.554 DEBUG2 : 		-> PrepareStopSession()
jul 18/20:18:29.554 DEBUG2 : 		<- PrepareStopSession()
jul 18/20:18:29.589 DEBUG2 : 		StopGui()
jul 18/20:18:29.603 DEBUG2 : 		-> StopSession()
jul 18/20:18:29.616 DEBUG2 : 		-> TerminateHardware()
jul 18/20:18:29.616 DEBUG2 : 		  ISigEmu::ReleaseInterface(pcSampler)
jul 18/20:18:29.616 DEBUG2 : 		  ISigEmu::ReleaseInterface(sigWpt)
jul 18/20:18:29.616 DEBUG2 : 		  ISigEmu::ReleaseInterface(sigVect)
jul 18/20:18:29.616 DEBUG2 : 		  ISigEmu::IceTerm()
jul 18/20:18:29.620 DEBUG2 : 		Core 0: sigEmu->LinkAttach(ISigProbe)
jul 18/20:18:29.620 DEBUG2 : 		  ISigApi::ReleaseInstance(sigEmu)
jul 18/20:18:29.620 DEBUG2 : 		  SigAPITerm()
jul 18/20:18:29.620 DEBUG2 : 		<- TerminateHardware()
jul 18/20:18:29.620 DEBUG2 : 		<- StopSession()
jul 18/20:18:29.620 DEBUG2 : 		-> ~TdJetDriver()
jul 18/20:18:29.620 DEBUG2 : 		-> TerminateHardware()
jul 18/20:18:29.620 DEBUG2 : 		<- TerminateHardware()
